source_dataset,process,stickout,source_run,rpm,doc,window,sample_id,label,original_image_split,npz_path,image_path,split,target,global_mse,global_mae,sve_max,sve_topk
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p010,320.0,0p010,11,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0011,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p010/F_08-Jun-2017_rpm320_doc0p010_window_0011.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0011_no_chatter.png,validation,0,0.0037159312,0.034724712,0.005550272,0.0048187943
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p010,320.0,0p010,13,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0013,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p010/F_08-Jun-2017_rpm320_doc0p010_window_0013.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0013_no_chatter.png,validation,0,0.0017489298,0.024948128,0.0032612982,0.002379894
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p015,320.0,0p015,1,2inchStickout_F_08-Jun-2017_rpm320_doc0p015_window_0001,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p015/F_08-Jun-2017_rpm320_doc0p015_window_0001.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p015_window_0001_no_chatter.png,validation,0,5.4284712e-05,0.0025521668,7.814797e-05,7.048488e-05
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p015,320.0,0p015,3,2inchStickout_F_08-Jun-2017_rpm320_doc0p015_window_0003,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p015/F_08-Jun-2017_rpm320_doc0p015_window_0003.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p015_window_0003_no_chatter.png,validation,0,0.00036501975,0.0069398573,0.0008112351,0.00068545615
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p015,320.0,0p015,13,2inchStickout_F_08-Jun-2017_rpm320_doc0p015_window_0013,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p015/F_08-Jun-2017_rpm320_doc0p015_window_0013.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p015_window_0013_no_chatter.png,validation,0,0.00044846963,0.011934242,0.00059730787,0.0005702087
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p015,320.0,0p015,14,2inchStickout_F_08-Jun-2017_rpm320_doc0p015_window_0014,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p015/F_08-Jun-2017_rpm320_doc0p015_window_0014.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p015_window_0014_no_chatter.png,validation,0,0.0006216518,0.013480053,0.00095675996,0.000839575
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p020,320.0,0p020,0,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0000,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p020/F_08-Jun-2017_rpm320_doc0p020_window_0000.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0000_no_chatter.png,validation,0,6.8782414e-05,0.002922151,9.027747e-05,8.572353e-05
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p020,320.0,0p020,3,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0003,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p020/F_08-Jun-2017_rpm320_doc0p020_window_0003.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0003_no_chatter.png,validation,0,7.404907e-05,0.002815583,0.00018913684,0.00011467113
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p020,320.0,0p020,4,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0004,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p020/F_08-Jun-2017_rpm320_doc0p020_window_0004.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0004_no_chatter.png,validation,0,0.00034022072,0.007285963,0.00054500217,0.00047168115
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p020,320.0,0p020,6,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0006,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p020/F_08-Jun-2017_rpm320_doc0p020_window_0006.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0006_no_chatter.png,validation,0,0.00024902116,0.0075512463,0.00031298472,0.00029232333
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p020,320.0,0p020,13,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0013,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p020/F_08-Jun-2017_rpm320_doc0p020_window_0013.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0013_no_chatter.png,validation,0,0.0003956816,0.00896467,0.00080907316,0.00068861473
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p020,320.0,0p020,14,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0014,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p020/F_08-Jun-2017_rpm320_doc0p020_window_0014.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0014_no_chatter.png,validation,0,0.0004700591,0.009537042,0.0010639853,0.00079811877
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p020,320.0,0p020,22,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0022,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p020/F_08-Jun-2017_rpm320_doc0p020_window_0022.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0022_no_chatter.png,validation,0,0.00026461255,0.008394366,0.000339045,0.0003166876
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p025,320.0,0p025,3,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0003,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p025/F_08-Jun-2017_rpm320_doc0p025_window_0003.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0003_no_chatter.png,validation,0,0.0007739719,0.012751533,0.0015036844,0.0010384034
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p025,320.0,0p025,4,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0004,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p025/F_08-Jun-2017_rpm320_doc0p025_window_0004.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0004_no_chatter.png,validation,0,0.0003344593,0.0094331475,0.00057693827,0.00044937406
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p025,320.0,0p025,8,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0008,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p025/F_08-Jun-2017_rpm320_doc0p025_window_0008.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0008_no_chatter.png,validation,0,0.00033311572,0.009872761,0.00042466767,0.00038081393
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p025,320.0,0p025,12,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0012,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p025/F_08-Jun-2017_rpm320_doc0p025_window_0012.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0012_no_chatter.png,validation,0,0.0015005075,0.020227337,0.0023849297,0.0021900423
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p025,320.0,0p025,13,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0013,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p025/F_08-Jun-2017_rpm320_doc0p025_window_0013.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0013_no_chatter.png,validation,0,0.0014743374,0.021112109,0.0021206448,0.0019431853
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p025,320.0,0p025,17,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0017,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p025/F_08-Jun-2017_rpm320_doc0p025_window_0017.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0017_no_chatter.png,validation,0,0.0011762709,0.018562695,0.0016946723,0.0014534462
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p025,320.0,0p025,21,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0021,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p025/F_08-Jun-2017_rpm320_doc0p025_window_0021.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0021_no_chatter.png,validation,0,0.00081781263,0.017021907,0.0010240923,0.0009843949
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p025,320.0,0p025,23,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0023,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p025/F_08-Jun-2017_rpm320_doc0p025_window_0023.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0023_no_chatter.png,validation,0,0.00092276966,0.017180441,0.0030309868,0.0015835213
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p030,320.0,0p030,11,2inchStickout_F_08-Jun-2017_rpm320_doc0p030_window_0011,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p030/F_08-Jun-2017_rpm320_doc0p030_window_0011.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p030_window_0011_no_chatter.png,validation,0,0.00045055902,0.011016985,0.00075413944,0.00062481896
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p030,320.0,0p030,12,2inchStickout_F_08-Jun-2017_rpm320_doc0p030_window_0012,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p030/F_08-Jun-2017_rpm320_doc0p030_window_0012.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p030_window_0012_no_chatter.png,validation,0,0.00033592276,0.010132885,0.0004186993,0.0003836037
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p030,320.0,0p030,19,2inchStickout_F_08-Jun-2017_rpm320_doc0p030_window_0019,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p030/F_08-Jun-2017_rpm320_doc0p030_window_0019.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p030_window_0019_no_chatter.png,validation,0,0.0007924257,0.014068734,0.00095276523,0.00088801375
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p030,320.0,0p030,20,2inchStickout_F_08-Jun-2017_rpm320_doc0p030_window_0020,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p030/F_08-Jun-2017_rpm320_doc0p030_window_0020.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p030_window_0020_no_chatter.png,validation,0,0.0008689424,0.015216883,0.0012442009,0.0010765407
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p035,320.0,0p035,3,2inchStickout_F_08-Jun-2017_rpm320_doc0p035_window_0003,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p035/F_08-Jun-2017_rpm320_doc0p035_window_0003.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p035_window_0003_no_chatter.png,validation,0,0.00014079238,0.0037303087,0.0008372879,0.0003368335
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p035,320.0,0p035,20,2inchStickout_F_08-Jun-2017_rpm320_doc0p035_window_0020,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p035/F_08-Jun-2017_rpm320_doc0p035_window_0020.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p035_window_0020_no_chatter.png,validation,0,0.0006413268,0.014579845,0.0008252203,0.0007282053
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p035,320.0,0p035,22,2inchStickout_F_08-Jun-2017_rpm320_doc0p035_window_0022,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p035/F_08-Jun-2017_rpm320_doc0p035_window_0022.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p035_window_0022_no_chatter.png,validation,0,0.00076041516,0.016016746,0.0011545542,0.0009577771
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p045,320.0,0p045,9,2inchStickout_F_08-Jun-2017_rpm320_doc0p045_window_0009,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p045/F_08-Jun-2017_rpm320_doc0p045_window_0009.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p045_window_0009_no_chatter.png,validation,0,0.0004252577,0.011123466,0.0005108589,0.00047300724
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p045,320.0,0p045,15,2inchStickout_F_08-Jun-2017_rpm320_doc0p045_window_0015,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p045/F_08-Jun-2017_rpm320_doc0p045_window_0015.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p045_window_0015_no_chatter.png,validation,0,0.00049416407,0.012358734,0.00070030574,0.0005911328
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p045,320.0,0p045,16,2inchStickout_F_08-Jun-2017_rpm320_doc0p045_window_0016,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p045/F_08-Jun-2017_rpm320_doc0p045_window_0016.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p045_window_0016_no_chatter.png,validation,0,0.000556368,0.013025379,0.0007188282,0.0006574302
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p045,320.0,0p045,17,2inchStickout_F_08-Jun-2017_rpm320_doc0p045_window_0017,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p045/F_08-Jun-2017_rpm320_doc0p045_window_0017.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p045_window_0017_no_chatter.png,validation,0,0.0007701372,0.01602172,0.0011983094,0.000980839
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p060_xAccDetached,320.0,0p060,3,2inchStickout_F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0003,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p060_xAccDetached/F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0003.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0003_no_chatter.png,validation,0,0.0009931071,0.01537318,0.0014755238,0.0012259539
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm425_doc0p010,425.0,0p010,0,2inchStickout_F_08-Jun-2017_rpm425_doc0p010_window_0000,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm425_doc0p010/F_08-Jun-2017_rpm425_doc0p010_window_0000.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm425_doc0p010_window_0000_no_chatter.png,validation,0,0.000116857744,0.0037570845,0.00015510456,0.00014299435
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm425_doc0p010,425.0,0p010,5,2inchStickout_F_08-Jun-2017_rpm425_doc0p010_window_0005,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm425_doc0p010/F_08-Jun-2017_rpm425_doc0p010_window_0005.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm425_doc0p010_window_0005_no_chatter.png,validation,0,0.0011077918,0.018761057,0.0013522886,0.0012553838
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm425_doc0p015,425.0,0p015,7,2inchStickout_F_08-Jun-2017_rpm425_doc0p015_window_0007,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm425_doc0p015/F_08-Jun-2017_rpm425_doc0p015_window_0007.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm425_doc0p015_window_0007_no_chatter.png,validation,0,0.0013314371,0.02052551,0.001834028,0.001587907
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm425_doc0p017,425.0,0p017,2,2inchStickout_F_08-Jun-2017_rpm425_doc0p017_window_0002,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm425_doc0p017/F_08-Jun-2017_rpm425_doc0p017_window_0002.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm425_doc0p017_window_0002_no_chatter.png,validation,0,0.00094212487,0.016566657,0.0011444121,0.0011149781
