dataset,method,sample_id,split,label,target,score_value,outer_fold
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p025_window_0005,validation,chatter,1,0.15243255946231093,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm570_doc0p001_window_0002,validation,chatter,1,0.07925139391654856,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm570_doc0p005_window_0001,test,no_chatter,0,-0.07413840075429284,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm570_doc0p005_window_0002,test,chatter,1,0.07569389727097131,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p001_window_0006,test,chatter,1,0.20735056325366075,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p005_window_0001,validation,chatter,1,0.2704544369931142,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0001,test,chatter,1,0.20028090058355275,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0006,test,chatter,1,0.2588126136779645,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0009,test,chatter,1,0.26164346410789086,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0010,test,chatter,1,0.2654997626814608,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0012,test,chatter,1,0.25393280614642266,2
turning,isolation_forest_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p008_window_0009,validation,no_chatter,0,-0.0794007632471358,2
turning,isolation_forest_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p010_window_0006,test,no_chatter,0,-0.0330215612508446,2
turning,isolation_forest_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p010_window_0009,test,no_chatter,0,-0.07574743447911597,2
turning,isolation_forest_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p012_window_0008,validation,no_chatter,0,-0.06198155858700177,2
turning,isolation_forest_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p012_window_0009,validation,no_chatter,0,-0.06896872683234384,2
turning,isolation_forest_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p015_trial2_window_0002,test,chatter,1,0.12360779503150343,2
turning,isolation_forest_image_features,3inchStickout_F_12-Jun-2017_rpm570_doc0p015_window_0001,test,no_chatter,0,-0.06858895624235473,2
turning,isolation_forest_image_features,4p5inchStickout_F_12-Jun-2017_rpm570_doc0p005_window_0002,validation,no_chatter,0,-0.07627873180213779,2
turning,isolation_forest_image_features,4p5inchStickout_F_13-Jun-2017_rpm1030_doc0p015_window_0003,validation,no_chatter,0,0.0784253093881917,2
turning,isolation_forest_image_features,4p5inchStickout_F_13-Jun-2017_rpm770_doc0p015_window_0001,validation,no_chatter,0,-0.04147843993814426,2
turning,isolation_forest_image_features,4p5inchStickout_F_13-Jun-2017_rpm770_doc0p015_window_0002,validation,no_chatter,0,-0.08023644452901407,2
turning,isolation_forest_image_features,4p5inchStickout_F_13-Jun-2017_rpm770_doc0p015_window_0005,validation,no_chatter,0,-0.06466456090126527,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0007,validation,chatter,1,0.0014783095102757215,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0005,validation,no_chatter,0,0.000272093981038779,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0008,validation,no_chatter,0,0.0007817468140274286,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0006,validation,no_chatter,0,0.00015857450489420444,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0022,validation,no_chatter,0,0.0002167764469049871,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0017,validation,no_chatter,0,0.000799515109974891,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p035_window_0020,validation,no_chatter,0,0.0004037241160403937,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p040_window_0000,test,no_chatter,0,1.3976172340335324e-05,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p050_window_0008,test,no_chatter,0,0.0002620627055875957,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p050_window_0017,test,no_chatter,0,0.0003637715126387775,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm425_doc0p017_window_0003,validation,no_chatter,0,0.000944248226005584,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm425_doc0p020_window_0002,test,no_chatter,0,0.000564620248042047,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm425_doc0p020_window_0005,test,no_chatter,0,0.00200929818674922,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm425_doc0p025_window_0005,validation,chatter,1,0.001652417005971074,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm570_doc0p001_window_0002,validation,chatter,1,0.001081149443052709,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm570_doc0p005_window_0001,test,no_chatter,0,0.0004687393957283348,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm570_doc0p005_window_0002,test,chatter,1,0.0016805186169221997,2
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm770_doc0p001_window_0006,test,chatter,1,0.0021158780436962843,2
